285,Bellevue School District (WA),education,0.2,1033,English (United States),2052,Chinese (Simplified),,
285,Bellevue School District (WA),education,0.2,1033,English (United States),1028,Chinese (Traditional),,
285,Bellevue School District (WA),education,0.2,1033,English (United States),1049,Russian,,
285,Bellevue School District (WA),education,0.2,1033,English (United States),58378,Spanish (Latin America),,
285,Bellevue School District (WA),education,0.2,1033,English (United States),1066,Vietnamese,,
278,Centennial School District (OR),education,0.23,1033,English (United States),2052,Chinese (Simplified),,
278,Centennial School District (OR),education,0.23,1033,English (United States),1028,Chinese (Traditional),,
278,Centennial School District (OR),education,0.23,1033,English (United States),1049,Russian,,
278,Centennial School District (OR),education,0.23,1033,English (United States),58378,Spanish (Latin America),,
278,Centennial School District (OR),education,0.23,1033,English (United States),1066,Vietnamese,,
622,East Baton Rouge Parish School Board (LA),education,0.2,1033,English (United States),2052,Chinese (Simplified),,
622,East Baton Rouge Parish School Board (LA),education,0.2,1033,English (United States),1028,Chinese (Traditional),,
622,East Baton Rouge Parish School Board (LA),education,0.2,1033,English (United States),1049,Russian,,
622,East Baton Rouge Parish School Board (LA),education,0.2,1033,English (United States),1066,Vietnamese,,
286,Fort Wayne Community Schools (IN),education,0.2,1033,English (United States),2052,Chinese (Simplified),,
286,Fort Wayne Community Schools (IN),education,0.2,1033,English (United States),1028,Chinese (Traditional),,
286,Fort Wayne Community Schools (IN),education,0.2,1033,English (United States),1049,Russian,,
286,Fort Wayne Community Schools (IN),education,0.2,1033,English (United States),58378,Spanish (Latin America),,
286,Fort Wayne Community Schools (IN),education,0.2,1033,English (United States),1066,Vietnamese,,
389,Health Plan of San Joaquin,healthcare,0.2,1033,English (United States),2052,Chinese (Simplified),,
389,Health Plan of San Joaquin,healthcare,0.2,1033,English (United States),1028,Chinese (Traditional),,
389,Health Plan of San Joaquin,healthcare,0.2,1033,English (United States),1049,Russian,,
389,Health Plan of San Joaquin,healthcare,0.2,1033,English (United States),58378,Spanish (Latin America),,
389,Health Plan of San Joaquin,healthcare,0.2,1033,English (United States),1066,Vietnamese,,
1948,Health Style Press,healthcare,0.2,1033,English (United States),1028,Chinese (Traditional),,
1948,Health Style Press,healthcare,0.16,1033,English (United States),58378,Spanish (Latin America),,
1948,Health Style Press,healthcare,0.22,1033,English (United States),1066,Vietnamese,,
1787,Healthcare Management Administrators,healthcare,0.14,1033,English (United States),58378,Spanish (Latin America),,
1262,Magellan Health Services,healthcare,0.18,1033,English (United States),2052,Chinese (Simplified),,
1262,Magellan Health Services,healthcare,0.18,1033,English (United States),1049,Russian,,
1262,Magellan Health Services,healthcare,0.16,1033,English (United States),58378,Spanish (Latin America),,
1262,Magellan Health Services,healthcare,0.26,1033,English (United States),1124,Tagalog,,
1912,McKing Consulting,healthcare,0.2,1033,English (United States),2052,Chinese (Simplified),,
1912,McKing Consulting,healthcare,0.2,1033,English (United States),1028,Chinese (Traditional),,
1912,McKing Consulting,healthcare,0.26,1033,English (United States),1127,Creole (Haitian),,
1912,McKing Consulting,healthcare,0.26,1033,English (United States),1036,French (Europe),,
1912,McKing Consulting,healthcare,0.22,1033,English (United States),1129,Hmong,,
1912,McKing Consulting,healthcare,0.26,1033,English (United States),1042,Korean,,
1912,McKing Consulting,healthcare,0.26,1033,English (United States),1045,Polish,,
