3857,1-Stop Translation,2,Chinese to English (US),1028,1033,1,0,,2,1,3,Active B,0.1,,,,0,,25,20,Hourly,15,0.1,0.05,0.035,0.025,0.015,0.01,
3857,1-Stop Translation,10,English to Chinese (Simp),1033,2052,11,0,,10,1,2,Active A,0.07,,,0.023,,,25,20,Per Page,,0.07,0.035,0.025,0.018,0.011,0.007,
3857,1-Stop Translation,11,English to Chinese (Trad),1033,1028,10,0,,11,1,2,Active A,0.09,0.14,0.092,0.046,,,25,20,Per Page,,0.09,0.045,0.032,0.023,0.014,0.009,
3857,1-Stop Translation,29,English to Indonesian,1033,1057,26,0,,29,1,2,Active A,0.12,,,,,,25,20,Per Page,,0.12,0.06,0.042,0.03,0.018,0.012,
3857,1-Stop Translation,32,English to Korean,1033,1042,9,0,,32,1,2,Active A,0.09,0.14,0.092,0.0462,,,25,20,Per Page,,0.09,0.045,0.032,0.023,0.014,0.009,
3857,1-Stop Translation,32,English to Korean,1033,1042,9,1443,GP Strategies,32,1,2,Active A,0.1,,,,,,,,,,0.1,0.07,0.05,0.035,0.02,0.02,0
3857,1-Stop Translation,32,English to Korean,1033,1042,9,1066,Cisco Systems,32,1,1,Active preferred,0.09,,,,,,25,20,Per Page,,0.09,0.045,0.032,0.023,0.014,0.009,
3857,1-Stop Translation,55,English to Vietnamese,1033,1066,17,0,,55,1,2,Active A,0.12,0.11,0.066,0.033,,0,25,20,Hourly,20,0.12,0.06,0.042,0.03,0.018,0.012,
3857,1-Stop Translation,66,Korean to English (US),1042,1033,1,0,,66,1,3,Active B,0.11,,,,,,25,2040,Per Page,,0.11,0.055,0.039,0.028,0.017,0.011,
453055141,AALS,198,Armenian to English (US),1067,1033,1,744,"A & K Designs, Inc.",198,2,3,Active B,,,,,,,,,,,,,,,,,
453055141,AALS,33,English to Lao,1033,1108,67,0,,33,1,3,Active B,0.26,,,,0.26,0.09,75,75,,,,,,,,,
453055141,AALS,51,English to Thai,1033,1054,42,0,,51,1,3,Active B,0.24,,,,,0.08,,,,,,,,,,,
3143,ACME Translations,18,German to English (US),1031,1033,1,0,,18,1,2,Active A,,0.12,0.06,0.03,0.13,0.04,40,25,,,0.13,0.13,0.065,0.065,0.03,0.03,0
3143,ACME Translations,18,German to English (US),1031,1033,1,1376,"Cisco Systems, Inc. (Legal)",18,1,2,Active A,,,,,0.14,0.04,60,25,Per Page,,0.14,0.14,0.047,0.047,0.047,0.047,0
3897,"Alik, Carmina",119,English to Marshallese,1033,1084,34,0,,119,1,2,Active A,0.15,,,,0.1,0.05,35,25,Hourly,35,,,,,,,
453054692,Alisa International of Orlando,47,English to Spanish (LatAm),1033,58378,78,0,,47,1,3,Active B,0.07,,,,0.05,0.02,20,20,,,0.07,0.035,0.025,0.018,0.011,0.007,0
453054692,Alisa International of Orlando,65,English to Spanish (Puerto Rico),1033,20490,80,0,,65,1,3,Active B,0.09,0.065,0.035,,0.1,0.04,20,20,,,0.09,0.045,0.032,0.023,0.014,0.009,0
453054692,Alisa International of Orlando,63,Spanish to English (US),1034,1033,1,0,,63,1,3,Active B,0.07,,,,0.05,0.02,20,20,,,0.07,0.035,0.025,0.018,0.011,0.007,0
3971,All Locatrans,127,Arabic to English (US),1025,1033,1,0,,127,1,2,Active A,0.07,0.07,,,0.05,0.03,25,0,,,0.07,0.035,0.025,0.018,0.011,0.007,0
3971,All Locatrans,144,English to Afrikaans,1033,1078,87,0,,144,1,2,Active A,0.15,0.15,,,0.1,0.06,25,0,,,0.15,0.075,0.053,0.038,0.023,0.015,0
3971,All Locatrans,4,English to Amharic,1033,1118,20,0,,4,1,2,Active A,0.14,0.14,,,0.1,0.05,25,0,,,0.14,0.07,0.049,0.035,0.021,0.014,0
3971,All Locatrans,5,English to Arabic,1033,1025,48,0,,5,1,2,Active A,0.07,0.07,,,0.05,0.03,25,0,,,0.07,0.035,0.025,0.018,0.011,0.007,0
3971,All Locatrans,5,English to Arabic,1033,1025,48,93,Microsoft Corp,5,1,2,Active A,0.07,,,,0.05,0.03,25,0,Hourly,25,0.07,0.035,0.025,0.018,0.011,0.007,0
3971,All Locatrans,5,English to Arabic,1033,1025,48,1066,Cisco Systems,5,1,2,Active A,0.07,,,,0.05,0.03,25,0,Hourly,25,0.07,0.035,0.025,0.018,0.011,0.007,0
3971,All Locatrans,6,English to Armenian,1033,1067,21,0,,6,1,2,Active A,0.1,0.1,,,0.08,0.03,25,0,,,0.1,0.05,0.035,0.025,0.015,0.01,0
3971,All Locatrans,141,English to Dari,1033,1164,35,0,,141,1,2,Active A,0.15,0.15,,,0.1,0.06,25,0,,,0.15,0.075,0.053,0.038,0.023,0.015,0
3971,All Locatrans,19,English to Farsi (Persian),1033,1065,22,0,,19,1,2,Active A,0.09,0.09,,,0.05,0.03,25,0,,,0.09,0.045,0.032,0.023,0.014,0.009,0
3971,All Locatrans,205,English to Fula,1033,1127,126,0,,205,1,2,Active A,0.15,,,,0.1,0.06,25,0,Per Page,,0.15,0.075,0.053,0.038,0.023,0.015,
3971,All Locatrans,158,English to Hausa,1033,1128,91,0,,158,1,2,Active A,0.11,,,,0.083,0.028,25,0,Per Page,,0.11,0.055,0.039,0.028,0.017,0.011,
3971,All Locatrans,161,English to Igbo,1033,1136,94,0,,161,1,2,Active A,0.14,0.14,,,0.1,0.05,25,0,,,0.14,0.07,0.049,0.035,0.021,0.014,0
3971,All Locatrans,164,English to Kinyarwanda/Rwanda,1033,1159,97,0,,164,1,2,Active A,0.12,,,,0.09,0.03,25,0,Per Page,,0.12,0.06,0.042,0.03,0.018,0.012,
3971,All Locatrans,193,"English to Kurdish, Central (Sorani)",1033,1170,121,0,,193,1,2,Active A,0.12,,,,0.1,0.03,25,0,Per Page,,0.12,0.06,0.042,0.03,0.018,0.012,0
3971,All Locatrans,122,English to Oromo,1033,1138,75,0,,122,1,2,Active A,0.13,,,,0.098,0.033,25,0,Per Page,,0.13,0.065,0.046,0.033,0.02,0.013,
3971,All Locatrans,46,English to Somali,1033,1143,16,0,,46,1,2,Active A,0.13,0.13,,,0.1,0.03,25,0,Per Page,,0.13,0.065,0.046,0.033,0.02,0.013,0
3971,All Locatrans,174,English to Southern Sotho (Sesotho),1033,1072,107,0,,174,1,2,Active A,0.12,,,,0.09,0.03,25,0,Per Page,,0.12,0.06,0.042,0.03,0.018,0.012,
3971,All Locatrans,84,English to Swahili,1033,1089,29,0,,84,1,2,Active A,0.15,0.15,,,0.1,0.06,25,0,,,0.15,0.075,0.053,0.038,0.023,0.015,0
3971,All Locatrans,179,English to Tswana (Setswana),1033,1074,112,0,,179,1,2,Active A,0.11,,,,0.083,0.028,25,0,Per Page,,0.11,0.055,0.039,0.028,0.017,0.011,
3971,All Locatrans,53,English to Turkish,1033,1055,30,0,,53,1,2,Active A,0.13,0.13,,,0.1,0.03,25,0,,,0.13,0.065,0.046,0.033,0.02,0.013,0
3971,All Locatrans,93,English to Urdu,1033,1056,84,0,,93,1,2,Active A,0.09,0.09,,,0.05,0.03,25,0,,,0.09,0.045,0.032,0.023,0.014,0.009,0
3971,All Locatrans,285,English to Wolof,1033,1160,155,0,,285,1,2,Active A,0.13,,,,0.098,0.033,25,0,Per Page,,0.13,0.065,0.046,0.033,0.02,0.013,
3971,All Locatrans,183,English to Xhosa,1033,1076,116,0,,183,1,2,Active A,0.14,0.14,,,0.1,0.05,25,0,,,0.14,0.07,0.049,0.035,0.021,0.014,0
3971,All Locatrans,185,English to Yoruba,1033,1130,118,0,,185,1,2,Active A,0.11,,,,0.083,0.028,25,0,Per Page,,0.11,0.055,0.039,0.028,0.017,0.011,
3971,All Locatrans,186,English to Zulu,1033,1077,52,0,,186,1,2,Active A,0.14,0.14,,,0.1,0.05,25,0,,,0.14,0.07,0.049,0.035,0.021,0.014,0
